Sentence #,Sentence,POS,Tag
Sentence: 33,"In Saturday 's elections , voters will cast ballots in nine provinces where no candidate won a majority in the previous round of voting .","['IN', 'NNP', 'POS', 'NNS', ',', 'NNS', 'MD', 'VB', 'NNS', 'IN', 'CD', 'NNS', 'WRB', 'DT', 'NN', 'VBD', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 34,"The Muslim Brotherhood is banned as a political party , but it endorses so-called independent candidates whose allegiance to the party is known to voters .","['DT', 'NNP', 'NNP', 'VBZ', 'VBN', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'PRP', 'VBZ', 'JJ', 'JJ', 'NNS', 'WP$', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'TO', 'NNS', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 35,"Hardline lawmakers in Pakistan 's North West Frontier Province have pushed through a law that aims to ensure "" Islamic correctness "" in public places and establishes a morality police to enforce decent behavior .","['JJ', 'NNS', 'IN', 'NNP', 'POS', 'NNP', 'NNP', 'NNP', 'NNP', 'VBP', 'VBN', 'IN', 'DT', 'NN', 'WDT', 'VBZ', 'TO', 'VB', '``', 'JJ', 'NN', '``', 'IN', 'JJ', 'NNS', 'CC', 'VBZ', 'DT', 'NN', 'NN', 'TO', 'VB', 'JJ', 'NN', '.']","['O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'I-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 36,"A six-party coalition of religious based parties , the Mutahida Majlis-e-Amal , dominates the provincial assembly , so the bill was easily passed Thursday by a vote of 68-34 .","['DT', 'JJ', 'NN', 'IN', 'JJ', 'VBN', 'NNS', ',', 'DT', 'NNP', 'NNP', ',', 'VBZ', 'DT', 'JJ', 'NN', ',', 'IN', 'DT', 'NN', 'VBD', 'RB', 'VBN', 'NNP', 'IN', 'DT', 'NN', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 37,"The provincial governor must still sign the bill before it becomes law , a step seen only as a formality .","['DT', 'JJ', 'NN', 'MD', 'RB', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VBZ', 'NN', ',', 'DT', 'NN', 'VBN', 'RB', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 38,"The proposed law calls for setting up a "" religious police force "" to make sure people adhere to Islamic values in public places , and entertainment outlets close during weekly Friday prayers .","['DT', 'JJ', 'NN', 'VBZ', 'IN', 'VBG', 'RP', 'DT', '``', 'JJ', 'NN', 'NN', '``', 'TO', 'VB', 'JJ', 'NNS', 'VBP', 'TO', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', ',', 'CC', 'NN', 'NNS', 'RB', 'IN', 'JJ', 'NNP', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O']"
Sentence: 39,Violators could be jailed for up to six months .,"['NNS', 'MD', 'VB', 'VBN', 'IN', 'RB', 'TO', 'CD', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 40,"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","['DT', 'NN', 'VBZ', 'VBN', 'DT', 'NN', ',', 'VBG', 'PRP', 'TO', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'VBG', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'O']"
Sentence: 41,British police say they have arrested a man who dressed as suicide bomber at a demonstration against the publication of cartoons depicting Islam 's Prophet Muhammad .,"['JJ', 'NNS', 'VBP', 'PRP', 'VBP', 'VBN', 'DT', 'NN', 'WP', 'VBD', 'IN', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'VBG', 'NNP', 'POS', 'NNP', 'NNP', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'B-per', 'I-per', 'O']"
Sentence: 42,Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole .,"['NNP', 'NNS', 'VBD', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'VBN', 'IN', 'NNP', 'IN', 'VBG', 'DT', 'NNS', 'IN', 'PRP$', 'NN', '.']","['B-gpe', 'O', 'O', 'B-tim', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 43,"Police said the British Home Office sought an investigation of Khayam 's behavior after he was photographed last week at a demonstration dressed in fatigues , a black cap , and a bulky belt .","['NNS', 'VBD', 'DT', 'NNP', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'IN', 'NNP', 'POS', 'NN', 'IN', 'PRP', 'VBD', 'VBN', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'NNS', ',', 'DT', 'JJ', 'NN', ',', 'CC', 'DT', 'JJ', 'NN', '.']","['O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 44,"A Home Office spokesman told the Associated Press that if the behavior of a paroled offender gives cause for concern , he can be sent back to prison .","['DT', 'NNP', 'NNP', 'NN', 'VBD', 'DT', 'NNP', 'NNP', 'IN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'NN', 'IN', 'NN', ',', 'PRP', 'MD', 'VB', 'VBN', 'RB', 'TO', 'NN', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 45,The AP also reports Khayam has been on parole from prison since last year after serving half his six-year sentence for drug dealing .,"['DT', 'NNP', 'RB', 'VBZ', 'NNP', 'VBZ', 'VBN', 'IN', 'NN', 'IN', 'NN', 'IN', 'JJ', 'NN', 'IN', 'VBG', 'PDT', 'PRP$', 'JJ', 'NN', 'IN', 'NN', 'NN', '.']","['O', 'B-org', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 46,"Pakistani officials say unidentified gunmen have killed three people , including a former government minister , in a semi-autonomous tribal region bordering Afghanistan .","['JJ', 'NNS', 'VBP', 'JJ', 'NNS', 'VBP', 'VBN', 'CD', 'NNS', ',', 'VBG', 'DT', 'JJ', 'NN', 'NN', ',', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'VBG', 'NNP', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 47,The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area .,"['DT', 'NNS', 'VBP', 'JJ', 'JJ', 'NN', 'NNP', 'NNP', 'NNP', 'VBD', 'VBG', 'IN', 'NNP', 'NNP', 'NNP', 'WRB', 'PRP$', 'NN', 'VBD', 'VBN', 'IN', 'DT', 'NNP', 'NNP', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'B-geo', 'I-geo', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']"
Sentence: 48,His driver and a tribal elder were also killed .,"['PRP$', 'NN', 'CC', 'DT', 'JJ', 'NN', 'VBD', 'RB', 'VBN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 49,No one has claimed responsibility for the killings .,"['DT', 'NN', 'VBZ', 'VBN', 'NN', 'IN', 'DT', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
